Eurex Code;Type;Product Name;Code & Link; Last Future;CUR;Product ISIN;Tick Size;Trad Unit;Tick Value;Min Block Size;Settlement Type;Start
1COV;OSTK;OPT ON COVESTRO AG;1COV GR Equity;;EUR;DE0006062144;0.01;100;0.01;1;Physical;08:51:00
34DF;FSTK;FUT ON DIASORIN S.P.A.;34DF=A GR Equity;No BBG Access;EUR;DE000A11RDF9;0.0001;1000;0.0001;1;Cash;08:55:00
3GDF;FSTK;FUT ONBENETEAU S.A. ACTIONS P.;3GFD=A GR Equity;No BBG Access;EUR;DE000A11RBC0;0.0001;100;0.0001;1;Cash;08:55:00
3MUF;FSTK;FUT ON MANITOU B.F.;3MUF=A GR Equity;No BBG Access;EUR;DE000A11RDG7;0.0001;100;0.0001;1;Cash;08:55:00
5AB;OSTK;OPT ON ASIAN BAMBOO AG;5AB GR Equity;;EUR;DE000A0M6M79;0.01;100;0.01;1;Physical;08:51:00
5ABF;FSTK;FUT ON ASIAN BAMBOO AG;5ABF=A GR Equity;No BBG Access;EUR;DE000A1KQUV5;0.0001;100;0.0001;1;Cash;08:55:00
5FLF;FSTK;FUT ON SOCIETE FONC. LYONN. SA;5FLF=A GR Equity;No BBG Access;EUR;DE000A11RBD8;0.0001;100;0.0001;1;Cash;08:55:00
6CMF;FSTK;FUT ON CRODA INTERNATIONAL;6CMF=A GR Equity;No BBG Access;GBX;DE000A1PH555;0.0001;1000;0.0001;1;Cash;08:56:00
6NUF;FSTK;FUT ON NUMERICABLE SFR;6NUF=A GR Equity;No BBG Access;EUR;DE000A11RDH5;0.0001;100;0.0001;1;Cash;08:55:00
7AA;OSTK;OPTION ON APERAM S.A.;APAM NA Equity;;EUR;LU0569974404;0.01;100;0.01;250;Physical;08:53:00
7AAF;FSTK;FUT ON APERAM;7AAF=A GR Equity;No BBG Access;EUR;DE000A1KP1A1;0.0001;100;0.0001;1;Cash;08:55:00
7KTF;FSTK;FUT ON KTG AGRAR SE;7KTF=A GR Equity;No BBG Access;EUR;DE000A11RDJ1;0.0001;100;0.0001;1;Cash;08:55:00
8BUF;FSTK;FUT ON BRUN. CUCINELLI S.P.A.;8BUF=A GR Equity;No BBG Access;EUR;DE000A11RDK9;0.0001;1000;0.0001;1;Cash;08:55:00
A2AL;FSTK;ANGLO AMERICAN PLC DIVID. FUT.;A2AL=A GR Equity;No BBG Access;USD;DE000A1KD0H2;0.001;1000;0.001;1;Cash;08:30:00
A2AP;FSTK;APPLE INC DIVIDEND FUTURES;A2AP=A GR Equity;No BBG Access;USD;DE000A11Q9X1;0.001;1000;0.001;1;Cash;08:30:00
A2BB;FSTK;ABB LTD. - N. DIVIDEND FUTURES;A2BB=A GR Equity;No BBG Access;CHF;DE000A1HTZH3;0.001;1000;0.001;1;Cash;08:30:00
A2CR;FSTK;FUT ON ACCOR SA DIVIDEND;A2CR=A GR Equity;No BBG Access;EUR;DE000A13RNM0;0.001;1000;0.001;1;Cash;08:30:00
A2DE;FSTK;FUT ON ADECCO DIVIDEND;A2DE=A GR Equity;No BBG Access;CHF;DE000A13RNF4;0.001;1000;0.001;1;Cash;08:30:00
A2DS;FSTK;ADIDAS AG DIVIDEND FUTURE;A2DS=A GR Equity;No BBG Access;EUR;DE000A1XQ1T5;0.001;1000;0.001;1;Cash;08:30:00
A2EN;FSTK;AEGON DIVIDENDS;A2EN=A GR Equity;No BBG Access;EUR;DE000A1EZH43;0.001;1000;0.001;1;Cash;08:30:00
A2HO;FSTK;FUT ON AHOLD DIVIDEND;A2HO=A GR Equity;No BBG Access;EUR;DE000A13RNV1;0.001;1000;0.001;1;Cash;08:30:00
A2KU;FSTK;FUT ON AKZO NOBEL NV DIVIDEND;A2KU=A GR Equity;No BBG Access;EUR;DE000A13RNR9;0.001;1000;0.001;1;Cash;08:30:00
A2LV;FSTK;ALLIANZ DIVIDEND FUT;A2LV=A GR Equity;No BBG Access;EUR;DE000A1EZHD4;0.001;1000;0.001;1;Cash;08:30:00
A2MZ;FSTK;AMAZON.COM DIV FUTURES;A2MZ=A GR Equity;No BBG Access;USD;DE000A11Q9W3;0.001;1000;0.001;1;Cash;08:30:00
A2OM;FSTK;ALSTOM DIVIDENDS;A2OM=A GR Equity;No BBG Access;EUR;DE000A1EZH68;0.001;1135.5443;0.001;1;Cash;08:30:00
