Business Date,Financial Business Center,Holiday Date,Holiday Name
06/03/2015,EUTA,05/01/2023,Labour Day
06/03/2015,EUTA,01/01/2016,New Year's Day
06/03/2015,EUTA,12/25/2015,Christmas Day
06/03/2015,EUTA,04/10/2020,Good Friday
06/03/2015,EUTA,04/14/2017,Good Friday
06/03/2015,EUTA,04/17/2017,Easter Monday
06/03/2015,EUTA,04/13/2020,Easter Monday
06/03/2015,EUTA,04/07/2023,Good Friday
06/03/2015,EUTA,05/01/2017,Labour Day
06/03/2015,EUTA,04/10/2023,Easter Monday
06/03/2015,EUTA,05/01/2020,Labour Day
06/03/2015,EUTA,12/26/2025,Boxing Day
06/03/2015,EUTA,12/25/2025,Christmas Day
06/03/2015,EUTA,12/26/2022,Boxing Day
06/03/2015,EUTA,03/25/2016,Good Friday
06/03/2015,EUTA,03/28/2016,Easter Monday
06/03/2015,EUTA,05/01/2015,Labour Day
06/03/2015,EUTA,04/03/2015,Good Friday
06/03/2015,EUTA,04/06/2015,Easter Monday
06/03/2015,EUTA,01/01/2025,New Year's Day
06/03/2015,EUTA,04/18/2022,Easter Monday
06/03/2015,EUTA,04/15/2022,Good Friday
06/03/2015,EUTA,04/18/2025,Good Friday
06/03/2015,EUTA,04/21/2025,Easter Monday
06/03/2015,EUTA,05/01/2025,Labour Day
06/03/2015,EUTA,01/01/2020,New Year's Day
06/03/2015,EUTA,12/26/2019,Boxing Day
06/03/2015,EUTA,12/25/2019,Christmas Day
06/03/2015,EUTA,12/26/2016,Boxing Day
06/03/2015,EUTA,12/26/2018,Boxing Day
06/03/2015,EUTA,12/25/2018,Christmas Day
06/03/2015,EUTA,12/26/2024,Boxing Day
06/03/2015,EUTA,12/25/2024,Christmas Day
06/03/2015,EUTA,01/01/2019,New Year's Day
06/03/2015,EUTA,01/01/2015,New Year's Day
06/03/2015,EUTA,04/19/2019,Good Friday
06/03/2015,EUTA,04/22/2019,Easter Monday
06/03/2015,EUTA,05/01/2019,Labour Day
06/03/2015,EUTA,05/01/2024,Labour Day
06/03/2015,EUTA,03/29/2024,Good Friday
06/03/2015,EUTA,04/01/2024,Easter Monday
06/03/2015,EUTA,03/30/2018,Good Friday
06/03/2015,EUTA,04/02/2018,Easter Monday
06/03/2015,EUTA,01/01/2021,New Year's Day
06/03/2015,EUTA,01/01/2024,New Year's Day
06/03/2015,EUTA,12/26/2023,Boxing Day
06/03/2015,EUTA,01/01/2018,New Year's Day
06/03/2015,EUTA,12/25/2023,Christmas Day
06/03/2015,EUTA,12/25/2020,Christmas Day
06/03/2015,EUTA,12/26/2017,Boxing Day
06/03/2015,EUTA,12/25/2017,Christmas Day
06/03/2015,EUTA,04/05/2021,Easter Monday
06/03/2015,EUTA,04/02/2021,Good Friday
06/03/2015,EUTA,05/01/2018,Labour Day
