VALUE_DATE,PRODUCT_TYPE,CURRENCY,MATURITY,NET_POSITION_SIZE,LIQUIDITY_FACTOR,BIDASK_SPREAD,LIQUIDITY_SET_ID
2015-06-03,Swap,USD,30Y,0.01,0.0000015215,0.000481,2
2015-06-03,Swap,USD,15Y,0.02,0.0000015429,0.000481,2
2015-06-03,Swap,USD,10Y,0.08,0.0000015468,0.000481,2
2015-06-03,Swap,USD,20Y,0.01,0.00000155,0.000481,2
2015-06-03,Swap,USD,50Y,0.01,0.0000016052,0.000481,2
2015-06-03,Swap,USD,5Y,0.12,0.0000017088,0.000481,2
2015-06-03,Swap,USD,2Y,0.28,0.0000033441,0.000481,2
2015-06-03,Swap,USD,30Y,1000.00,0.1522,0.000481,2
2015-06-03,Swap,USD,15Y,1800.00,0.1543,0.000481,2
2015-06-03,Swap,USD,10Y,8320.00,0.1547,0.000481,2
2015-06-03,Swap,USD,20Y,1000.00,0.155,0.000481,2
2015-06-03,Swap,USD,50Y,698.00,0.1605,0.000481,2
2015-06-03,Swap,USD,5Y,11685.00,0.1709,0.000481,2
2015-06-03,Swap,USD,2Y,28000.00,0.3344,0.000481,2
2015-06-03,Swap,USD,30Y,192515.60,14.6458,0.000481,2
2015-06-03,Swap,USD,30Y,96257.80,14.6458,0.000481,2
2015-06-03,Swap,USD,15Y,346528.08,14.8515,0.000481,2
2015-06-03,Swap,USD,15Y,173264.04,14.8515,0.000481,2
2015-06-03,Swap,USD,10Y,1601729.79,14.889,0.000481,2
2015-06-03,Swap,USD,10Y,800864.90,14.889,0.000481,2
2015-06-03,Swap,USD,20Y,192515.60,14.9198,0.000481,2
2015-06-03,Swap,USD,20Y,96257.80,14.9198,0.000481,2
2015-06-03,Swap,USD,50Y,134375.89,15.4509,0.000481,2
2015-06-03,Swap,USD,50Y,67187.94,15.4509,0.000481,2
2015-06-03,Swap,USD,5Y,2249544.79,16.4487,0.000481,2
2015-06-03,Swap,USD,5Y,1124772.39,16.4487,0.000481,2
2015-06-03,Swap,USD,2Y,5390436.80,32.1894,0.000481,2
2015-06-03,Swap,USD,2Y,2695218.40,32.1894,0.000481,2
2015-06-03,Swap,EUR,15Y,0.03,0.0000020377,0.000501,2
2015-06-03,Swap,EUR,20Y,0.02,0.0000020485,0.000501,2
2015-06-03,Swap,EUR,10Y,0.15,0.0000020714,0.000501,2
2015-06-03,Swap,EUR,5Y,0.16,0.0000021429,0.000501,2
2015-06-03,Swap,EUR,30Y,0.01,0.000002168,0.000501,2
2015-06-03,Swap,EUR,50Y,0.01,0.0000023093,0.000501,2
2015-06-03,Swap,GBP,10Y,0.02,0.0000023734,0.000501,2
2015-06-03,Swap,GBP,5Y,0.03,0.0000024227,0.000501,2
2015-06-03,Swap,EUR,2Y,0.35,0.0000028243,0.000501,2
2015-06-03,Swap,GBP,2Y,0.05,0.0000034402,0.000501,2
2015-06-03,Swap,EUR,15Y,3206.00,0.2038,0.000501,2
2015-06-03,Swap,EUR,20Y,1880.00,0.2048,0.000501,2
2015-06-03,Swap,EUR,10Y,14926.00,0.2071,0.000501,2
2015-06-03,Swap,EUR,5Y,15618.00,0.2143,0.000501,2
2015-06-03,Swap,EUR,30Y,1419.00,0.2168,0.000501,2
2015-06-03,Swap,EUR,50Y,782.00,0.2309,0.000501,2
2015-06-03,Swap,GBP,10Y,2415.00,0.2373,0.000501,2
2015-06-03,Swap,GBP,5Y,2728.00,0.2423,0.000501,2
2015-06-03,Swap,EUR,2Y,35432.00,0.2824,0.000501,2
2015-06-03,Swap,GBP,2Y,4963.00,0.344,0.000501,2
2015-06-03,Swap,EUR,15Y,481219.96,15.2931,0.000501,2
2015-06-03,Swap,EUR,15Y,240609.98,15.2931,0.000501,2
2015-06-03,Swap,EUR,20Y,282187.62,15.3738,0.000501,2
2015-06-03,Swap,EUR,20Y,141093.81,15.3738,0.000501,2
2015-06-03,Swap,EUR,10Y,2240389.61,15.5456,0.000501,2
2015-06-03,Swap,EUR,10Y,1120194.81,15.5456,0.000501,2
2015-06-03,Swap,EUR,5Y,2344258.68,16.0821,0.000501,2
2015-06-03,Swap,EUR,5Y,1172129.34,16.0821,0.000501,2
2015-06-03,Swap,EUR,30Y,212991.62,16.2711,0.000501,2
2015-06-03,Swap,EUR,30Y,106495.81,16.2711,0.000501,2
2015-06-03,Swap,GBP,10Y,351863.33,17.2899,0.000501,2
2015-06-03,Swap,GBP,10Y,175931.78,17.2899,0.000501,2
2015-06-03,Swap,EUR,50Y,117378.04,17.3314,0.000501,2
2015-06-03,Swap,EUR,50Y,58689.02,17.3314,0.000501,2
2015-06-03,Swap,GBP,5Y,397467.14,17.6494,0.000501,2
2015-06-03,Swap,GBP,5Y,198733.71,17.6494,0.000501,2
2015-06-03,Swap,EUR,2Y,5318336.11,21.196,0.000501,2
2015-06-03,Swap,EUR,2Y,2659168.06,21.196,0.000501,2
2015-06-03,Swap,GBP,2Y,723104.63,25.0616,0.000501,2
2015-06-03,Swap,GBP,2Y,361552.56,25.0616,0.000501,2
2015-06-03,Swap,GBP,15Y,0.00,0.0000025248,0.000702,2
2015-06-03,Swap,JPY,10Y,2.63,0.0000071381,0.000702,2
2015-06-03,Swap,JPY,5Y,3.70,0.000010159,0.000702,2
2015-06-03,Swap,JPY,2Y,13.33,0.000022172,0.000702,2
2015-06-03,Swap,GBP,15Y,465.00,0.2525,0.000702,2
2015-06-03,Swap,JPY,10Y,263268.00,0.7138,0.000702,2
2015-06-03,Swap,JPY,5Y,370290.00,1.0159,0.000702,2
2015-06-03,Swap,JPY,10Y,11531270.03,15.6326,0.000702,2
2015-06-03,Swap,JPY,10Y,5765648.18,15.6326,0.000702,2
2015-06-03,Swap,GBP,15Y,67750.08,18.393,0.000702,2
2015-06-03,Swap,GBP,15Y,33875.06,18.393,0.000702,2
2015-06-03,Swap,JPY,2Y,1333333.00,2.2172,0.000702,2
2015-06-03,Swap,JPY,5Y,16218887.15,22.2475,0.000702,2
